"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt","78","7.07","15.01","0.81"
"Beans, navy, mature seeds, sprouted, raw","67","6.15","13.05","0.7"
"Beans, pink, mature seeds, cooked, boiled, with salt","149","9.06","27.91","0.49"
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt","162","9.31","30.87","0.48"
"Beans, pinto, immature seeds, frozen, unprepared","170","9.8","32.5","0.5"
"Beans, pinto, mature seeds, sprouted, raw","62","5.25","11.6","0.9"
"Beans, snap, canned, all styles, seasoned, solids and liquids","16","0.83","3.49","0.2"
"Beans, snap, green, canned, regular pack, drained solids","21","1.04","4.11","0.39"
"Beans, snap, green, cooked, boiled, drained, with salt","35","1.89","7.88","0.28"
"Beans, snap, green, frozen, cooked, boiled, drained without salt","28","1.49","6.45","0.17"
"Beans, yellow, mature seeds, raw","345","22","60.7","2.6"
"Bear","257","32.16","0","13.28"
"Bear, black, meat (Alaska Native)","155","20.1","0","8.3"
"Bear, polar, meat, raw (Alaska Native)","130","25.6","0","3.1"
"Beaver","210","34.57","0","6.9"
"Beef and broccoli","160","10.43","5.09","10.63"
"Beef and macaroni with cheese sauce","137","9.12","12.26","5.42"
"Beef and noodles with cream or white sauce","140","7.86","15.02","5.33"
"Beef and noodles with gravy","139","7.7","15.39","5.07"
"Beef and noodles with mushroom sauce","136","7.54","14.96","5.14"
"Beef and noodles with soy-based sauce","173","13.19","7.54","10.05"
"Beef and noodles with tomato-based sauce","115","8.74","10.67","3.93"
"Beef and noodles, no sauce","189","11.37","16.24","8.41"
"Beef and potatoes with cheese sauce","126","8.15","11.1","5.6"
"Beef and potatoes with cream sauce, white sauce or mushroom sauce","100","8.04","8.66","3.79"
"Beef and potatoes, no sauce","133","7.92","14.52","4.93"
"Beef and rice with cheese sauce","142","8.08","14.66","5.35"
"Beef and rice with cream sauce","139","6.7","15.9","5.24"
"Beef and rice with gravy","137","6.28","15.98","5.12"
"Beef and rice with mushroom sauce","135","6.25","15.53","5.18"
"Beef and rice with soy-based sauce","178","13.58","7.96","10.26"
"Beef and rice with tomato-based sauce","136","6.39","15.88","5.15"
"Beef and rice, no sauce","146","7.27","17.23","5"
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy","122","8.11","6.47","7.34"
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","121","10.03","5.16","7.09"
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","147","12.13","4.34","9.15"
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy","115","8.06","4.5","7.34"
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","116","11.41","3","6.73"
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","144","11.72","4.65","8.81"
"Beef and vegetables, Hawaiian style","93","4.79","14.24","2.24"
"Beef as ingredient in recipes","261","26.44","0","16.52"
"Beef burgundy","148","18.48","4.19","6"
"Beef chow mein or chop suey with noodles","129","10.78","11.17","4.89"
"Beef chow mein or chop suey, no noodles","82","10.76","3.85","2.61"
"Beef composite, separable lean only, trimmed to 1/8"" fat, choice, cooked","203","28.73","0","9.16"
"Beef curry","113","7.57","6.53","6.57"
"Beef curry with rice","119","5.61","15.12","4.05"
"Beef dinner, NFS, frozen meal","146","6.82","10.94","8.4"
"Beef egg foo yung","147","13.82","4.78","8.08"
"Beef jerky","410","33.2","11","25.6"
"Beef macaroni with tomato sauce, frozen entree, reduced fat","113","5.89","17.99","1.96"
"Beef Pot Pie, frozen entree, prepared","220","7.25","22.05","11.39"
"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce","195","20.56","6.61","9.08"
"Beef salad","261","17.85","2.9","19.32"
"Beef sausage","341","13.3","3.37","28.7"
"Beef sausage with cheese","341","13.65","3.75","28.54"
"Beef shish kabob with vegetables, excluding potatoes","122","14.8","5.06","4.88"
"Beef steak with onions, Puerto Rican style","321","20.92","3.89","24.12"
"Beef stew with potatoes, Puerto Rican style","220","14.57","6.53","14.85"
"Beef stew, canned entree","99","4.41","7.85","5.53"
"Beef stroganoff","150","10.06","6.21","9.33"
"Beef stroganoff with noodles","129","7.76","8.99","6.8"
"Beef taco filling: beef, cheese, tomato, taco sauce","181","12.97","6.37","11.32"
"Beef wellington","368","19.16","10.25","27.43"
"Beef with cream or white sauce","185","22.5","2.75","9.31"
"Beef with gravy","156","21.56","1.58","7.05"
"Beef with mushroom sauce","163","21.97","1.83","7.54"
"Beef with soy-based sauce","187","15.86","3.35","12.38"
"Beef with spaetzle or rice, vegetable, frozen meal","118","6.92","12.23","4.37"
"Beef with sweet and sour sauce","211","9.29","14.22","12.81"
"Beef with tomato-based sauce","149","21.72","1.58","6.36"
"Beef with vegetable, diet frozen meal","125","10.64","4.69","6.95"
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce","121","7.85","6.97","7.16"
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce","115","7.67","5.96","7.18"
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce","115","7.8","5.24","7.16"
"Beef, Australian, imported, grass-fed,  external fat, raw","509","11.32","0.39","51.36"
"Beef, Australian, imported, grass-fed, ground, 85% lean / 15% fat, raw","239","17.72","0","18.12"
"Beef, Australian, imported, grass-fed, rib, ribeye steak/roast lip-on, boneless, separable lean and fat, raw","217","19.8","0.11","15.21"
"Beef, Australian, imported, grass-fed, seam fat, raw","562","9.58","1.06","57.73"
"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean and fat, Aust. marble score 9, raw","404","14.54","0.28","38.3"
"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw","234","20.35","0","16.93"
"Beef, Australian, imported, Wagyu, seam fat, Aust. marble score 9, raw","627","5.16","0","67.33"
"Beef, bacon, reduced sodium, cooked","541","37.04","1.43","41.78"
"Beef, bologna, reduced sodium","310","11.7","2","28.4"
"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted","221","25.66","0","12.36"
"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, raw","129","21.34","0","4.21"
"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","298","28.66","0","19.47"
"Beef, brisket, point half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","267","17.65","0.59","20.98"
"Beef, brisket, point half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised","244","28.05","0","13.8"
"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","331","25.85","0","24.5"
"Beef, carcass, separable lean and fat, choice, raw","291","17.32","0","24.05"
"Beef, carcass, separable lean and fat, select, raw","278","17.48","0","22.55"
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw","185","19.14","0","12.02"
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted","183","26.65","0","8.46"
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw","223","18.86","0","16.35"
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw","216","18.86","0","15.6"
"Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled","215","27.97","0","11.47"
"Beef, chuck for stew, separable lean and fat, all grades, cooked, braised","191","32.41","0","6.82"
"Beef, chuck for stew, separable lean and fat, all grades, raw","128","21.75","0.16","4.48"
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","309","30.2","0","19.93"
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised","214","34.66","0","7.36"
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised","224","34.72","0","8.37"
"Beef, chuck, blade roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised","334","27.18","0","24.14"
"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","248","17.16","0","19.41"
"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","359","26.37","0","27.26"
"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised","318","27.33","0","22.35"
"Beef, chuck, clod roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted","216","24.61","0","12.26"
"Beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted","172","28.09","0","5.82"
"Beef, chuck, clod steak, separable lean only, trimmed to 1/4"" fat, all grades, cooked, braised","189","29.34","0","7.04"
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised","250","28.84","0","14.95"
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked","203","29.9","0","8.37"
"Beef, corned beef hash, with potato, canned","164","8.73","9.27","10.24"
"Beef, cured, breakfast strips, cooked","449","31.3","1.4","34.4"
"Beef, cured, breakfast strips, raw or unheated","406","12.5","0.7","38.8"
"Beef, cured, corned beef, brisket, raw","198","14.68","0.14","14.9"
"Beef, cured, dried","153","31.1","2.76","1.94"
"Beef, dried, chipped, cooked in fat","225","28.12","2.5","11.32"
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised","263","26.98","0","16.44"
"Beef, ground, 70% lean meat / 30% fat, crumbles, cooked, pan-browned","270","25.56","0","17.86"
"Beef, ground, 70% lean meat / 30% fat, loaf, cooked, baked","241","23.87","0","15.37"
"Beef, ground, 70% lean meat / 30% fat, patty cooked, pan-broiled","238","22.86","0","15.54"
"Beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled","277","25.38","0","18.66"
"Beef, ground, 70% lean meat / 30% fat, raw","332","14.35","0","30"
"Beef, ground, 75% lean meat / 25% fat, raw","293","15.76","0","25"
"Beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked","240","25.93","0","14.36"
"Beef, ground, 93% lean meat / 7% fat, crumbles, cooked, pan-browned","209","28.88","0","9.51"
"Beef, ground, 95% lean meat / 5% fat, crumbles, cooked, pan-browned","193","29.17","0","7.58"
"Beef, ground, 97% lean meat / 3% fat, crumbles, cooked, pan-browned","175","29.46","0","5.46"
"Beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked","154","27.58","0","4.06"
"Beef, ground, patties, frozen, cooked, broiled","295","23.05","0","21.83"
"Beef, ground, with egg and onion","228","21.86","1.05","14.54"
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted","176","27.7","0","6.36"
"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled","198","31.09","0","7.25"
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw","205","21.13","0","13.36"
"Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw","191","21.54","0","11.65"
"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, choice, raw","237","19.32","0","17.1"
"Beef, New Zealand, imported, bolar blade, separable lean and fat, cooked, fast roasted","228","31.3","0","11.37"
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, cooked, braised","453","20.14","0","41.33"
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, raw","345","15.81","0","31.27"
"Beef, New Zealand, imported, brisket navel end, separable lean only, cooked, braised","265","29.35","0","16.37"
"Beef, New Zealand, imported, chuck eye roll, separable lean and fat, cooked, braised","252","29.92","0","14.74"
"Beef, New Zealand, imported, cube roll, separable lean and fat, cooked, fast roasted","286","27.79","0.03","19.45"
"Beef, New Zealand, imported, cube roll, separable lean and fat, raw","225","18.22","1.26","16.31"
"Beef, New Zealand, imported, cube roll, separable lean only, cooked, fast roasted","239","30.09","0","13.22"
"Beef, New Zealand, imported, cube roll, separable lean only, raw","161","19.77","1.38","8.51"
"Beef, New Zealand, imported, eye round, separable lean and fat, raw","129","19.88","1.32","4.92"
"Beef, New Zealand, imported, eye round, separable lean only, raw","116","20.15","1.35","3.35"
"Beef, New Zealand, imported, flat, separable lean and fat, cooked, braised","252","31.86","0","13.79"
"Beef, New Zealand, imported, flat, separable lean only, cooked, braised","226","33.22","0","10.3"
"Beef, New Zealand, imported, intermuscular fat, cooked","560","7.9","3.39","57.22"
"Beef, New Zealand, imported, intermuscular fat, raw","602","6.97","0.01","63.78"
"Beef, New Zealand, imported, manufacturing beef, cooked, boiled","126","24.21","0","3.26"
"Beef, New Zealand, imported, subcutaneous fat, cooked","731","6.5","0","78.3"
"Beef, New Zealand, imported, subcutaneous fat, raw","685","8.5","0","72.38"
"Beef, New Zealand, imported, sweetbread, cooked, boiled","318","12.53","0","29.79"
"Beef, New Zealand, imported, sweetbread, raw","303","11.51","0","28.6"
"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled","150","23.3","3.78","4.68"
"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled","179","31.29","0","6"
"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled","157","27.28","0","5.27"
"Beef, New Zealand, imported, variety meats and by-products, liver, raw","133","20.5","3.6","4.05"
"Beef, New Zealand, imported, variety meats and by-products, tongue, cooked, boiled","271","18.31","3.68","20.34"
"Beef, New Zealand, imported, variety meats and by-products, tripe cooked, boiled","103","19","0","2.98"
"Beef, New Zealand, imported, variety meats and by-products, tripe uncooked, raw","77","14.86","0","1.98"
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","131","6.68","14.94","5.05"
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","151","8.78","18.29","4.91"
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","131","8.17","12.97","5.43"
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","126","5.3","12.36","6.34"
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","148","11.78","5.8","8.81"
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","127","8.14","11.82","5.43"
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","129","5.23","11.17","7.16"
"Beef, retail cuts, separable fat, cooked","680","10.65","0","70.33"
"Beef, retail cuts, separable fat, raw","674","8.21","0","70.89"
"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","277","24.85","0","19.68"
"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted","202","28.72","0","9.68"
"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, choice, raw","336","15.75","0.9","29.89"
"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, select, raw","305","16.75","0.6","26.23"
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted","372","22.8","0","30.49"
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, raw","316","16.26","0","27.29"
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled","370","20.86","0","31.18"
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled","404","20.65","0","34.97"
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, raw","367","15.77","0","33.26"
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled","324","21.55","0","25.71"
"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised","471","21.57","0","41.98"
"Beef, rib, shortribs, separable lean and fat, choice, raw","390","14.4","0.4","36.23"
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","341","22.54","0","27.14"
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted","411","22.15","0","35.12"
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","365","22.6","0","29.79"
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted","400","22.57","0","33.7"
"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled","246","24.66","1.53","15.7"
"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled","259","24.24","1.81","17.21"
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","143","8.18","15.85","5.24"
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","135","5.8","16.13","5.18"
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","149","7.62","20","4.29"
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","145","10.88","7.75","7.96"
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","149","7.54","18.38","4.86"
"Beef, roast, hash","140","13.2","10.74","5.1"
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","254","32.85","0","12.56"
